Model,Prob_B1_Bin,Std_Prob_Runs_Mean_BS2,Std_Prob_Runs_Mean_BS4,Std_Prob_Runs_Mean_BS8,Std_Prob_Runs_Mean_BS16,Total,Total,,,
Gemma3-1B,0-0.001,3.75E-06,4.16E-06,3.42E-06,3.63E-06,1.50E-05,1.62E-05,1.21E-06,正数是变差，为期待的现象,7.55E-02
Gemma3-1B,0.001-0.1,0.001425205,0.00233274,0.002741749,0.002459902,0.008959596,0.008856319,-1.03E-04,,
Gemma3-1B,0.1-0.2,0.008302721,0.016468681,0.016978296,0.016190076,0.057939775,0.059278934,1.34E-03,,
Gemma3-1B,0.2-0.3,0.011402332,0.022912292,0.02300948,0.023498105,0.080822209,0.081524956,7.03E-04,,
Gemma3-1B,0.3-0.4,0.019074349,0.030041349,0.02734385,0.027730832,0.104190379,0.104696329,5.06E-04,,
Gemma3-1B,0.4-0.5,0.013408179,0.027750539,0.02760749,0.030231426,0.098997633,0.100541401,1.54E-03,,
Gemma3-1B,0.5-0.6,0.009686533,0.023971761,0.028192836,0.027544566,0.089395696,0.092319881,2.92E-03,,
Gemma3-1B,0.6-0.7,0.020189844,0.028134332,0.026843752,0.029549334,0.104717261,0.105539706,8.22E-04,,
Gemma3-1B,0.7-0.8,0.009775553,0.022954573,0.024125483,0.020681175,0.077536784,0.081759551,4.22E-03,,
Gemma3-1B,0.8-0.9,0.012219325,0.018437398,0.017469576,0.016326851,0.06445315,0.063604554,-8.49E-04,,
Gemma3-1B,0.9-0.999,0.002452053,0.00368677,0.004342072,0.003778247,0.014259142,0.014741114,4.82E-04,,
Gemma3-1B,0.999-1,4.39E-06,4.04E-06,3.84E-06,4.56E-06,1.68E-05,1.68E-05,-3.19E-08,,
Gemma3-270M,0-0.001,6.48E-06,7.03E-06,8.22E-06,9.62E-06,3.13E-05,3.35E-05,2.13E-06,,
Gemma3-270M,0.001-0.1,0.001672054,0.001900163,0.002093792,0.001460674,0.007126683,0.007279459,1.53E-04,,
Gemma3-270M,0.1-0.2,0.013476908,0.014140959,0.014070898,0.012111975,0.05380074,0.055167526,1.37E-03,,
Gemma3-270M,0.2-0.3,0.016478591,0.01614242,0.021596203,0.017365882,0.071583097,0.0700003,-1.58E-03,,
Gemma3-270M,0.3-0.4,0.013845468,0.016112828,0.025787511,0.022538733,0.07828454,0.080158478,1.87E-03,,
Gemma3-270M,0.4-0.5,0.015548196,0.020187571,0.019149919,0.022153467,0.077039153,0.077651701,6.13E-04,,
Gemma3-270M,0.5-0.6,0.029249448,0.036270756,0.040516558,0.024042822,0.130079584,0.131490931,1.41E-03,,
Gemma3-270M,0.6-0.7,0.017581899,0.023467521,0.024652299,0.019069287,0.084771006,0.093853074,9.08E-03,,
Gemma3-270M,0.7-0.8,0.020614314,0.015215451,0.018782027,0.019546101,0.074157893,0.0824386,8.28E-03,,
Gemma3-270M,0.8-0.9,0.013631957,0.014688258,0.015647258,0.013687271,0.057654744,0.051518961,-6.14E-03,,
Gemma3-270M,0.9-0.999,0.002405573,0.002688491,0.00313309,0.002814655,0.011041809,0.012535648,1.49E-03,,
Gemma3-270M,0.999-1,5.66E-06,6.08E-06,8.04E-06,1.12E-05,3.10E-05,3.39E-05,2.84E-06,,
Gemma3-4B,0-0.001,3.66E-06,4.36E-06,4.78E-06,4.38E-06,1.72E-05,1.85E-05,1.33E-06,,
Gemma3-4B,0.001-0.1,0.0016982,0.002089285,0.002302687,0.001949971,0.008040144,0.008298671,2.59E-04,,
Gemma3-4B,0.1-0.2,0.013233143,0.015642221,0.016573525,0.0151244,0.060573288,0.063348411,2.78E-03,,
Gemma3-4B,0.2-0.3,0.020793511,0.025112052,0.026504837,0.023304091,0.095714491,0.097635361,1.92E-03,,
Gemma3-4B,0.3-0.4,0.019932592,0.028131272,0.03018775,0.023592129,0.101843742,0.108035197,6.19E-03,,
Gemma3-4B,0.4-0.5,0.022230358,0.032467291,0.030628357,0.026989909,0.112315915,0.123079198,1.08E-02,,
Gemma3-4B,0.5-0.6,0.020983985,0.028840196,0.027507443,0.02373288,0.101064504,0.105491128,4.43E-03,,
Gemma3-4B,0.6-0.7,0.020802725,0.02896845,0.032825621,0.023287788,0.105884585,0.130075027,2.42E-02,,
Gemma3-4B,0.7-0.8,0.022894838,0.024044895,0.026990344,0.025755575,0.099685653,0.095448762,-4.24E-03,,
Gemma3-4B,0.8-0.9,0.015228638,0.01734212,0.019295502,0.017388435,0.069254695,0.070568826,1.31E-03,,
Gemma3-4B,0.9-0.999,0.002518261,0.003151966,0.003419408,0.003217642,0.012307278,0.012020869,-2.86E-04,,
Gemma3-4B,0.999-1,8.24E-06,1.01E-05,1.23E-05,8.94E-06,3.95E-05,4.26E-05,3.10E-06,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
