Model,Prob_B1_Bin,Range_Prob_Runs_Mean_BS2,Range_Prob_Runs_Mean_BS4,Range_Prob_Runs_Mean_BS8,Range_Prob_Runs_Mean_BS16,Total
Gemma3-1B,0-0.001,1.7434739095746993e-05,1.350176289721661e-05,1.6109117658435757e-05,1.4102126798364534e-05,6.11477464497639e-05
Gemma3-1B,0.001-0.1,0.008603702158628296,0.009813261887460081,0.008057413924931651,0.006420254664675633,0.03289463263569566
Gemma3-1B,0.1-0.2,0.06127760328707236,0.06101060024014222,0.05305316065038949,0.04246252154310539,0.21780388572070947
Gemma3-1B,0.2-0.3,0.07459993873323709,0.09420215487480159,0.0686791517904826,0.050662232438723205,0.2881434778372445
Gemma3-1B,0.3-0.4,0.10656044166535135,0.10952311456203456,0.09857005675633743,0.07609021189537911,0.3907438248791024
Gemma3-1B,0.4-0.5,0.10667904218037919,0.060923089583714764,0.10156733542680736,0.07584501554568604,0.3450144827365873
Gemma3-1B,0.5-0.6,0.09098174742289947,0.0853546023368835,0.07740765213966366,0.073840782046318,0.3275847839457646
Gemma3-1B,0.6-0.7,0.10035962363084151,0.10588964007117528,0.09117021885785186,0.08047735265323089,0.3778968352130996
Gemma3-1B,0.7-0.8,0.06757666269938147,0.09571103453636168,0.06823941639491485,0.05350133031606671,0.2850284439467247
Gemma3-1B,0.8-0.9,0.0678370070457458,0.06499197416835358,0.055592897145644436,0.047406921784083,0.2358288001438268
Gemma3-1B,0.9-0.999,0.015190796926617574,0.01665074011636154,0.013211784126994326,0.011119463533725333,0.05617278470369876
Gemma3-1B,0.999-1,1.655043439662022e-05,1.8288011420260562e-05,1.6082478108376023e-05,1.413021424803845e-05,6.505113817329526e-05
Gemma3-270M,0-0.001,3.736184574151162e-05,3.849467039568732e-05,3.8441195988238015e-05,2.9203194687043083e-05,0.00014350090681248005
Gemma3-270M,0.001-0.1,0.00586467935842637,0.010503211670801564,0.009964502761256001,0.004625312467112141,0.030957706257596078
Gemma3-270M,0.1-0.2,0.04688621143048455,0.07409898481435243,0.06537945444385207,0.03719349019229407,0.2235581408809831
Gemma3-270M,0.2-0.3,0.07292396227518715,0.08360957105954485,0.07732417993247502,0.05523952934890982,0.2890972426161168
Gemma3-270M,0.3-0.4,0.078371878181185,0.09682745592934738,0.08570444583892818,0.07155759632587426,0.33246137627533484
Gemma3-270M,0.4-0.5,0.06770471334457392,0.09467359383900957,0.08651484052340186,0.05958599448204036,0.3084791421890257
Gemma3-270M,0.5-0.6,0.10129182582551778,0.18955860882997508,0.18402823805809018,0.07524806509415305,0.5501267378077361
Gemma3-270M,0.6-0.7,0.08808864014489305,0.11102469762166339,0.10743498802185054,0.06547769904136654,0.3720260248297735
Gemma3-270M,0.7-0.8,0.07198566198348993,0.12993566195170084,0.0612297654151916,0.0602773949503898,0.3234284843007722
Gemma3-270M,0.8-0.9,0.043958663940429646,0.0763342529535293,0.06307746682848245,0.04803514022093548,0.23140552394337688
Gemma3-270M,0.9-0.999,0.012013627065194567,0.015981809451029803,0.01357378959655756,0.009745600611664488,0.05131482672444642
Gemma3-270M,0.999-1,3.948441722935788e-05,3.775110784566099e-05,2.5726379232195855e-05,3.276020288466815e-05,0.00013572210719188288
Gemma3-4B,0-0.001,1.641229575413237e-05,2.120653045336258e-05,1.848422957398491e-05,1.6803634543869683e-05,7.290669032534955e-05
Gemma3-4B,0.001-0.1,0.0072285819940158345,0.007857660295592353,0.008965806954936937,0.007818357381412512,0.03187040662595764
Gemma3-4B,0.1-0.2,0.06298443395644422,0.062187493171380864,0.06915646863894326,0.060922686790311015,0.2552510825570794
Gemma3-4B,0.2-0.3,0.09187104037174806,0.08586632543139981,0.09348031878471369,0.09099996089935297,0.3622176454872145
Gemma3-4B,0.3-0.4,0.09882275909185405,0.104823924601078,0.10104908347129815,0.11728129088878625,0.42197705805301644
Gemma3-4B,0.4-0.5,0.09499828304563247,0.1004097238183021,0.10740882654984789,0.11253349695886883,0.4153503303726513
Gemma3-4B,0.5-0.6,0.0831897523668077,0.09828825791676837,0.09797329083085055,0.10036613643169398,0.37981743754612063
Gemma3-4B,0.6-0.7,0.11554573973019912,0.12862749894460038,0.1123547106981277,0.1186809142430623,0.4752088636159895
Gemma3-4B,0.7-0.8,0.08085506657759343,0.08509443865882022,0.10040500489148223,0.08842902878920234,0.35478353891709824
Gemma3-4B,0.8-0.9,0.07292983623651353,0.0677575679386363,0.07629277557134624,0.06942024827003475,0.2864004280165308
Gemma3-4B,0.9-0.999,0.010938314981357979,0.010641291508307782,0.01302399966451852,0.012043548527584233,0.04664715468176851
Gemma3-4B,0.999-1,3.4527080815007454e-05,4.953039543968391e-05,3.9972821060485466e-05,4.273934184379653e-05,0.00016676963915897335
