Model,Prob_B1_Bin,Std_Prob_Runs_Mean_BS2,Std_Prob_Runs_Mean_BS4,Std_Prob_Runs_Mean_BS8,Std_Prob_Runs_Mean_BS16,Total
Gemma3-1B,0-0.001,4.007372530715108e-06,3.3634671220161517e-06,4.427716623598641e-06,4.369116939867928e-06,1.616767321619783e-05
Gemma3-1B,0.001-0.1,0.0020115238794068675,0.002628959975815901,0.002184046203668261,0.0020317889986283893,0.00885631905751942
Gemma3-1B,0.1-0.2,0.01485289042327725,0.016620951342499867,0.014951848571321744,0.01285324344644318,0.05927893378354204
Gemma3-1B,0.2-0.3,0.018554586418239087,0.02466529272496695,0.02119346215788803,0.017111614719033184,0.08152495602012724
Gemma3-1B,0.3-0.4,0.025332129618618582,0.02944492436945433,0.027059485887487685,0.02285978960042645,0.10469632947598705
Gemma3-1B,0.4-0.5,0.02725334320631288,0.023123598967989236,0.026967929909005737,0.0231965284328907,0.10054140051619856
Gemma3-1B,0.5-0.6,0.022245926117258372,0.02655545733869072,0.02233008239418266,0.02118841474875803,0.09231988059888978
Gemma3-1B,0.6-0.7,0.02590222214348609,0.028462433848868672,0.0269918147135864,0.024183235264250164,0.10553970597019133
Gemma3-1B,0.7-0.8,0.01878470188627634,0.02520329430699343,0.02041543208594829,0.01735612296033646,0.08175955123955453
Gemma3-1B,0.8-0.9,0.016525284778326706,0.017641467766629282,0.015836971892934724,0.013600829732604276,0.06360455417049499
Gemma3-1B,0.9-0.999,0.0032624721032637164,0.004350833480231534,0.00356903942108372,0.003558769209567353,0.014741114214146324
Gemma3-1B,0.999-1,4.024111814069459e-06,4.422129391654285e-06,4.034635778064437e-06,4.324735396070805e-06,1.6805612379858986e-05
Gemma3-270M,0-0.001,7.698782925559267e-06,8.75208870334283e-06,8.591187824037547e-06,8.431165176268094e-06,3.347322462920774e-05
Gemma3-270M,0.001-0.1,0.0012558100395718167,0.002365038114440707,0.002308407561089354,0.0013502032981714972,0.007279459013273376
Gemma3-270M,0.1-0.2,0.010924573691392436,0.016585686037109918,0.016070436298226284,0.011586830078158477,0.055167526104887114
Gemma3-270M,0.2-0.3,0.01705993892004088,0.01842832161734495,0.017933641443960337,0.016578397888224516,0.07000029986957068
Gemma3-270M,0.3-0.4,0.014516141797815,0.023109440292630814,0.0208294557407498,0.021703439857810692,0.0801584776890063
Gemma3-270M,0.4-0.5,0.015549689903855279,0.020956807148953233,0.023691230143109903,0.01745397392660374,0.07765170112252215
Gemma3-270M,0.5-0.6,0.021644384092227936,0.0400724526494741,0.0489249965175986,0.020849097636528258,0.1314909308958289
Gemma3-270M,0.6-0.7,0.018960707155721485,0.025195652619004198,0.03044695965945715,0.019249754259362747,0.09385307369354558
Gemma3-270M,0.7-0.8,0.01965107880532738,0.0284255870307485,0.014270887710154,0.020091046928428065,0.08243860047465795
Gemma3-270M,0.8-0.9,0.009807529021054449,0.0160648127784952,0.013797016814351042,0.011849602111256992,0.05151896072515768
Gemma3-270M,0.9-0.999,0.0024669301484528594,0.003971609296478612,0.003236198223312336,0.0028609101843970973,0.012535647852640905
Gemma3-270M,0.999-1,8.267103854383581e-06,9.515662775307155e-06,6.190373428121057e-06,9.879703140702745e-06,3.385284319851454e-05
Gemma3-4B,0-0.001,3.950821928488555e-06,5.4461830233363165e-06,4.656764531258835e-06,4.46052777625846e-06,1.8514297259342168e-05
Gemma3-4B,0.001-0.1,0.0018854988623626123,0.002018932519679132,0.002314677160164225,0.002079562376357103,0.008298670918563072
Gemma3-4B,0.1-0.2,0.01460549401817839,0.015581056333916295,0.016752094314950984,0.016409766457045782,0.06334841112409145
Gemma3-4B,0.2-0.3,0.024816172913863063,0.02309032902121539,0.02524169469252226,0.024487164014807054,0.09763536064240776
Gemma3-4B,0.3-0.4,0.023497578827664213,0.028789833420887537,0.026831919699907253,0.028915864881128024,0.10803519682958704
Gemma3-4B,0.4-0.5,0.02794704745922766,0.031945062801241826,0.029630272649228517,0.03355681470462248,0.12307919761432048
Gemma3-4B,0.5-0.6,0.0248123794380161,0.027500428725033946,0.025526934885419864,0.027651384845375958,0.10549112789384588
Gemma3-4B,0.6-0.7,0.028813671631117616,0.03833462111651894,0.031533718574792105,0.0313930154467622,0.13007502676919086
Gemma3-4B,0.7-0.8,0.022708587891732596,0.022300597901145566,0.02614155445586547,0.024298022035509282,0.0954487622842529
Gemma3-4B,0.8-0.9,0.01728525770326642,0.01697695118320333,0.01819129099991788,0.01811532595316884,0.07056882583955647
Gemma3-4B,0.9-0.999,0.0027653462293723784,0.002719208926114637,0.00337601246428671,0.0031603013196745606,0.012020868939448285
Gemma3-4B,0.999-1,8.203471090062548e-06,1.3291022158521658e-05,9.837454261281906e-06,1.126741335114672e-05,4.259936086101283e-05
